Title,Skill,num,Ordinal
Front End Developer/Designer,CSS,108.0,1.0
Front End Developer/Designer,HTML,92.0,2.0
Front End Developer/Designer,HTML5,71.0,3.0
Front End Developer/Designer,jQuery,70.0,4.0
Front End Developer/Designer,Photoshop,69.0,5.0
Front End Developer/Designer,Marketing,66.0,6.0
Front End Developer/Designer,CSS3,63.0,7.0
Front End Developer/Designer,Adobe,60.0,8.0
Front End Developer/Designer,Management,48.0,9.0
Front End Developer/Designer,Communications,47.0,10.0
Front End Developer/Designer,Illustrator,47.0,11.0
Front End Developer/Designer,IT,44.0,12.0
Front End Developer/Designer,Mobile,43.0,13.0
Front End Developer/Designer,UX,42.0,14.0
Front End Developer/Designer,Testing,38.0,15.0
Front End Developer/Designer,Wordpress,37.0,16.0
Front End Developer/Designer,UI,36.0,17.0
Front End Developer/Designer,Email,35.0,18.0
Front End Developer/Designer,PHP,34.0,19.0
Front End Engineer,JavaScript,697.0,0.0
Front End Engineer,CSS,534.0,1.0
Front End Engineer,HTML,386.0,2.0
Front End Engineer,Software,363.0,3.0
Front End Engineer,HTML5,335.0,4.0
Front End Engineer,IT,317.0,5.0
Front End Engineer,Mobile,301.0,6.0
Front End Engineer,Engineering,299.0,7.0
Front End Engineer,CSS3,274.0,8.0
Front End Engineer,jQuery,266.0,9.0
Front End Engineer,Computer Science,264.0,10.0
Front End Engineer,Testing,234.0,11.0
Front End Engineer,Communications,225.0,12.0
Front End Engineer,AngularJS,221.0,13.0
Front End Engineer,Agile,218.0,14.0
Front End Engineer,Management,197.0,15.0
Front End Engineer,UI,196.0,16.0
Front End Engineer,Interfaces,184.0,17.0
Front End Engineer,Java,172.0,18.0
Front End Engineer,SASS,170.0,19.0
Front End Java Developer,Java,267.0,0.0
Front End Java Developer,JavaScript,198.0,1.0
Front End Java Developer,jQuery,127.0,2.0
Front End Java Developer,CSS,125.0,3.0
Front End Java Developer,Software,118.0,4.0
Front End Java Developer,HTML,108.0,5.0
Front End Java Developer,IT,105.0,6.0
Front End Java Developer,HTML5,90.0,7.0
Front End Java Developer,Agile,88.0,8.0
Front End Java Developer,AngularJS,88.0,9.0
Front End Java Developer,Testing,88.0,10.0
Front End Java Developer,Communications,86.0,11.0
Front End Java Developer,Management,80.0,12.0
Front End Java Developer,AJAX,78.0,13.0
Front End Java Developer,Spring,77.0,14.0
Front End Java Developer,bootstrap,76.0,15.0
Front End Java Developer,XML,74.0,16.0
Front End Java Developer,UI,71.0,17.0
Front End Java Developer,Programming,69.0,18.0
Front End Java Developer,SQL,63.0,19.0
Front End JavaScript Developer,JavaScript,309.0,0.0
Front End JavaScript Developer,CSS,203.0,1.0
Front End JavaScript Developer,jQuery,177.0,2.0
Front End JavaScript Developer,Computer Science,141.0,3.0
Front End JavaScript Developer,IT,136.0,4.0
Front End JavaScript Developer,HTML,128.0,5.0
Front End JavaScript Developer,UI,123.0,6.0
Front End JavaScript Developer,Engineering,116.0,7.0
Front End JavaScript Developer,Security,111.0,8.0
Front End JavaScript Developer,Management,111.0,9.0
Front End JavaScript Developer,Testing,104.0,10.0
Front End JavaScript Developer,Government,101.0,11.0
Front End JavaScript Developer,cloud,99.0,12.0
Front End JavaScript Developer,Software,99.0,13.0
Front End JavaScript Developer,Analytics,96.0,14.0
Front End JavaScript Developer,AngularJS,93.0,15.0
Front End JavaScript Developer,Agile,86.0,16.0
Front End JavaScript Developer,Healthcare,86.0,17.0
Front End JavaScript Developer,Education,85.0,18.0
Front End JavaScript Developer,Research,84.0,19.0
Front End Software Developer,Software,153.0,0.0
Front End Software Developer,JavaScript,125.0,1.0
Front End Software Developer,CSS,92.0,2.0
Front End Software Developer,Testing,76.0,3.0
Front End Software Developer,HTML,71.0,4.0
Front End Software Developer,IT,66.0,5.0
Front End Software Developer,HTML5,65.0,6.0
Front End Software Developer,jQuery,61.0,7.0
Front End Software Developer,Agile,57.0,8.0
Front End Software Developer,Computer Science,53.0,9.0
Front End Software Developer,AngularJS,50.0,10.0
Front End Software Developer,Engineering,48.0,11.0
Front End Software Developer,Communications,48.0,12.0
Front End Software Developer,Mobile,47.0,13.0
Front End Software Developer,Management,46.0,14.0
Front End Software Developer,Integration,46.0,15.0
Front End Software Developer,MVC,41.0,16.0
Front End Software Developer,Architecture,40.0,17.0
Front End Software Developer,UI,40.0,18.0
Front End Software Developer,Framework,37.0,19.0
Front End Software Engineer,Software,589.0,0.0
Front End Software Engineer,JavaScript,545.0,1.0
Front End Software Engineer,CSS,395.0,2.0
Front End Software Engineer,Engineering,306.0,3.0
Front End Software Engineer,HTML,306.0,4.0
Front End Software Engineer,Computer Science,304.0,5.0
Front End Software Engineer,AngularJS,273.0,6.0
Front End Software Engineer,Agile,259.0,7.0
Front End Software Engineer,jQuery,231.0,8.0
Front End Software Engineer,HTML5,230.0,9.0
Front End Software Engineer,Mobile,229.0,10.0
Front End Software Engineer,IT,226.0,11.0
Front End Software Engineer,Testing,201.0,12.0
Front End Software Engineer,UI,186.0,13.0
Front End Software Engineer,Node.js,164.0,14.0
Front End Software Engineer,CSS3,161.0,15.0
Front End Software Engineer,MVC,153.0,16.0
Front End Software Engineer,Interfaces,152.0,17.0
Front End Software Engineer,Git,148.0,18.0
Front End Software Engineer,bootstrap,147.0,19.0
Front End UI Developer,UI,283.0,0.0
Front End UI Developer,JavaScript,256.0,1.0
Front End UI Developer,CSS,163.0,2.0
Front End UI Developer,HTML5,160.0,3.0
Front End UI Developer,HTML,153.0,4.0
Front End UI Developer,CSS3,137.0,5.0
Front End UI Developer,jQuery,127.0,6.0
Front End UI Developer,IT,123.0,7.0
Front End UI Developer,AngularJS,120.0,8.0
Front End UI Developer,Software,104.0,9.0
Front End UI Developer,Java,101.0,10.0
Front End UI Developer,Agile,92.0,11.0
Front End UI Developer,Testing,85.0,12.0
Front End UI Developer,Communications,78.0,13.0
Front End UI Developer,Mobile,74.0,14.0
Front End UI Developer,AJAX,73.0,15.0
Front End UI Developer,Engineering,69.0,16.0
Front End UI Developer,bootstrap,63.0,17.0
Front End UI Developer,Management,59.0,18.0
Front End UI Developer,Git,58.0,19.0
Front End Web Developer,JavaScript,1764.0,0.0
Front End Web Developer,CSS,1402.0,1.0
Front End Web Developer,HTML,1196.0,2.0
Front End Web Developer,jQuery,1155.0,3.0
Front End Web Developer,HTML5,1004.0,4.0
Front End Web Developer,IT,836.0,5.0
Front End Web Developer,CSS3,764.0,6.0
Front End Web Developer,Mobile,731.0,7.0
Front End Web Developer,Management,653.0,8.0
Front End Web Developer,Software,649.0,9.0
Front End Web Developer,Communications,591.0,10.0
Front End Web Developer,Testing,507.0,11.0
Front End Web Developer,AngularJS,502.0,12.0
Front End Web Developer,Computer Science,495.0,13.0
Front End Web Developer,UI,481.0,14.0
Front End Web Developer,Photoshop,480.0,15.0
Front End Web Developer,PHP,477.0,16.0
Front End Web Developer,bootstrap,458.0,17.0
Front End Web Developer,Agile,425.0,18.0
Front End Web Developer,Programming,417.0,19.0
